group,labelled,predicted,siblings_wrong,unanimous,mean_pred_conf,mean_true_conf,score
Holstein_Friesian_99_jpg,Holstein_Friesian,Ayrshire,3/3,True,0.861,0.112,0.749
Krishna_Valley_117_jpg,Krishna_Valley,Jersey,3/3,True,0.78,0.04,0.74
Hallikar_30_jpg,Hallikar,Krishna_Valley,3/3,True,0.802,0.071,0.731
Brown_Swiss_71_jpg,Brown_Swiss,Jersey,3/3,True,0.857,0.127,0.73
Red_Sindhi_81_jpg,Red_Sindhi,Gir,3/3,True,0.721,0.002,0.719
Red_Sindhi_30_jpg,Red_Sindhi,Vechur,1/1,True,0.709,0.002,0.707
Pulikulam_6_JPG,Pulikulam,Kankrej,1/1,True,0.691,0.001,0.69
Gir_177_jpg,Gir,Red_Sindhi,3/3,True,0.83,0.16,0.67
Tharparkar_179_png,Tharparkar,Hallikar,1/1,True,0.669,0.007,0.662
Jersey_8_jpg,Jersey,Ayrshire,3/3,True,0.662,0.004,0.658
Hariana_113_jpg,Hariana,Hallikar,1/1,True,0.648,0.002,0.646
00000390_jpg,Vechur,Sahiwal,3/3,True,0.657,0.018,0.639
00000102_jpg,Nagori,Pulikulam,1/1,True,0.655,0.016,0.639
00000144_jpg,Banni,Ongole,1/1,True,0.691,0.06,0.632
Jersey_1_jpg,Jersey,Krishna_Valley,3/3,True,0.657,0.027,0.631
Sahiwal_336_png,Sahiwal,Vechur,1/1,True,0.697,0.067,0.63
Ayrshire_73_jpg,Ayrshire,Jersey,1/1,True,0.673,0.046,0.627
Ongole_170_png,Ongole,Tharparkar,1/1,True,0.627,0.001,0.626
00000033_jpg,Banni,Vechur,3/3,True,0.619,0.007,0.612
00000113_JPG,Rathi,Tharparkar,1/1,True,0.64,0.033,0.607
Sahiwal_364_jpg,Sahiwal,Vechur,1/1,True,0.761,0.173,0.588
Screenshot-1061-_png,Nagori,Tharparkar,3/3,True,0.652,0.064,0.588
Kangayam_58_jpg,Kangayam,Kankrej,3/3,True,0.627,0.047,0.58
Hariana_68_png,Hariana,Ongole,1/1,True,0.597,0.021,0.576
Hallikar_40_jpeg,Hallikar,Hariana,1/1,True,0.578,0.002,0.576
Sahiwal_310_jpg,Sahiwal,Red_Sindhi,1/1,True,0.629,0.057,0.571
Amritmahal_2_JPG,Amritmahal,Alambadi,3/3,True,0.573,0.008,0.565
Hallikar_163_png,Hallikar,Kangayam,1/1,True,0.56,0.0,0.56
Sahiwal_62_jpg,Sahiwal,Vechur,3/3,True,0.564,0.012,0.552
Ayrshire_209_jpg,Ayrshire,Jersey,3/3,True,0.619,0.072,0.547
00000321_jpg,Vechur,Red_Sindhi,1/1,True,0.529,0.0,0.528
Amritmahal_43_png,Amritmahal,Nagori,3/3,True,0.521,0.001,0.52
Brown_Swiss_113_jpg,Brown_Swiss,Krishna_Valley,1/1,True,0.512,0.001,0.511
Tharparkar_184_jpg,Tharparkar,Ongole,1/1,True,0.516,0.01,0.507
Jersey_55_jpg,Jersey,Krishna_Valley,3/3,True,0.511,0.007,0.504
Amritmahal_61_jpg,Amritmahal,Tharparkar,1/1,True,0.495,0.0,0.495
Ongole_122_png,Ongole,Tharparkar,3/3,True,0.667,0.176,0.491
Ongole_172_png,Ongole,Amritmahal,3/3,True,0.491,0.002,0.489
Ayrshire_233_jpg,Ayrshire,Guernsey,3/3,True,0.613,0.125,0.488
Amritmahal_84_jpg,Amritmahal,Kankrej,3/3,True,0.491,0.006,0.486
Krishna_Valley_6_jpg,Krishna_Valley,Hallikar,1/1,True,0.571,0.093,0.478
Kankrej_165_jpg,Kankrej,Kangayam,3/3,True,0.535,0.059,0.475
Alambadi_44_png,Alambadi,Hallikar,3/3,True,0.63,0.156,0.474
Red_Sindhi_76_jpg,Red_Sindhi,Krishna_Valley,1/1,True,0.474,0.001,0.473
Gir_198_jpg,Gir,Red_Sindhi,1/1,True,0.501,0.028,0.472
Ongole_16_jpg,Ongole,Tharparkar,3/3,True,0.566,0.099,0.467
Ongole_158_jpg,Ongole,Kankrej,3/3,True,0.704,0.265,0.439
Krishna_Valley_68_jpg,Krishna_Valley,Jersey,1/1,True,0.605,0.187,0.418
Tharparkar_39_jpg,Tharparkar,Nagori,3/3,True,0.494,0.08,0.414
Pulikulam_50_jpg,Pulikulam,Kangayam,1/1,True,0.66,0.269,0.391
Kankrej_29_jpg,Kankrej,Pulikulam,1/1,True,0.379,0.003,0.376
Alambadi_15_jpg,Alambadi,Ayrshire,1/1,True,0.393,0.017,0.375
Kankrej_1_JPG,Kankrej,Nagori,3/3,True,0.451,0.081,0.37
Krishna_Valley_39_jpg,Krishna_Valley,Gir,3/3,True,0.517,0.218,0.299
Pulikulam_1_JPG,Pulikulam,Alambadi,3/3,True,0.425,0.128,0.297
Kangayam_70_jpg,Kangayam,Amritmahal,1/1,True,0.347,0.087,0.26
Red_Sindhi_65_png,Red_Sindhi,Gir,3/3,True,0.387,0.128,0.259
Pulikulam_94_jpg,Pulikulam,Kankrej,3/3,True,0.465,0.212,0.253
Kankrej_4_JPG,Kankrej,Nagori,1/1,True,0.446,0.196,0.249
Sahiwal_316_jpg,Sahiwal,Krishna_Valley,3/3,True,0.569,0.349,0.22
Ongole_187_jpg,Ongole,Tharparkar,1/1,True,0.577,0.363,0.214
Pulikulam_61_jpg,Pulikulam,Kankrej,3/3,True,0.487,0.351,0.136
Kankrej_54_jpg,Kankrej,Hariana,1/1,True,0.302,0.198,0.104
Hallikar_98_jpg,Hallikar,Hariana,3/3,False,0.673,0.0,0.673
00000046_jpg,Vechur,Sahiwal,6/6,False,0.643,0.008,0.635
Ongole_51_jpg,Ongole,Nagori,3/3,False,0.63,0.013,0.616
Hariana_91_png,Hariana,Hallikar,3/3,False,0.564,0.003,0.561
00000191_jpg,Nagori,Amritmahal,3/3,False,0.508,0.0,0.508
Hallikar_85_jpg,Hallikar,Pulikulam,3/3,False,0.544,0.05,0.494
Alambadi_19_jpg,Alambadi,Ongole,3/3,False,0.537,0.044,0.493
Ayrshire_53_jpg,Ayrshire,Guernsey,2/3,False,0.79,0.359,0.431
Pulikulam_8_jpg,Pulikulam,Alambadi,3/3,False,0.415,0.003,0.412
Gir_215_jpg,Gir,Ayrshire,1/3,False,0.982,0.583,0.399
Pulikulam_70_jpg,Pulikulam,Kankrej,3/3,False,0.44,0.078,0.362
Tharparkar_21_jpg,Tharparkar,Kankrej,3/3,False,0.623,0.262,0.361
Jersey_35_jpg,Jersey,Brown_Swiss,1/3,False,0.945,0.604,0.341
Holstein_Friesian_6_jpg,Holstein_Friesian,Banni,2/3,False,0.652,0.325,0.326
Kangayam_24_jpg,Kangayam,Amritmahal,3/3,False,0.33,0.023,0.307
00000147_jpg,Rathi,Banni,6/6,False,0.851,0.547,0.304
00000074_jpg,Nagori,Hariana,6/6,False,0.785,0.505,0.28
Kangayam_59_jpg,Kangayam,Hallikar,2/3,False,0.64,0.367,0.273
Gir_97_jpeg,Gir,Sahiwal,2/3,False,0.588,0.336,0.253
Hallikar_68_png,Hallikar,Krishna_Valley,2/3,False,0.598,0.354,0.244
00000108_jpg,Nagori,Ongole,2/3,False,0.444,0.249,0.195
Ayrshire_41_jpg,Ayrshire,Rathi,1/3,False,0.642,0.482,0.16
Brown_Swiss_92_jpg,Brown_Swiss,Jersey,1/3,False,0.686,0.533,0.153
Amritmahal_83_jpg,Amritmahal,Ongole,2/3,False,0.331,0.181,0.151
Jersey_59_jpg,Jersey,Brown_Swiss,1/3,False,0.659,0.522,0.137
Hariana_104_png,Hariana,Tharparkar,2/3,False,0.337,0.262,0.075
Ayrshire_81_jpg,Ayrshire,Jersey,1/3,False,0.335,0.296,0.04
Krishna_Valley_129_jpg,Krishna_Valley,Kankrej,1/3,False,0.556,0.581,-0.025
00000094_jpg,Banni,Kankrej,1/3,False,0.51,0.541,-0.031
Kankrej_56_jpg,Kankrej,Kangayam,1/3,False,0.379,0.441,-0.061
Hariana_80_jpg,Hariana,Hallikar,1/3,False,0.376,0.451,-0.076
Brown_Swiss_78_jpg,Brown_Swiss,Jersey,1/3,False,0.41,0.514,-0.104
Gir_261_jpg,Gir,Holstein_Friesian,1/3,False,0.308,0.419,-0.111
Alambadi_63_jpg,Alambadi,Rathi,1/3,False,0.38,0.502,-0.123
Amritmahal_31_jpg,Amritmahal,Hallikar,1/3,False,0.435,0.567,-0.132
Krishna_Valley_121_jpg,Krishna_Valley,Pulikulam,2/3,False,0.336,0.521,-0.185
Brown_Swiss_130_jpg,Brown_Swiss,Banni,1/3,False,0.225,0.643,-0.418
